1790072060.090972467 sclk=2900Mhz mclk=1000Mhz fclk=2000Mhz busy=0 power_uw=18037000 temp_mc=37000 load=5.39
1790072060.609119835 sclk=2900Mhz mclk=1000Mhz fclk=2000Mhz busy=3 power_uw=23023000 temp_mc=40000 load=5.39
1790072061.126354138 sclk=2897Mhz mclk=1000Mhz fclk=2000Mhz busy=40 power_uw=60040000 temp_mc=61000 load=5.39
1790072061.643567663 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=64 power_uw=85027000 temp_mc=52000 load=5.39
1790072062.159394233 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=79 power_uw=104097000 temp_mc=56000 load=5.39
1790072062.677792505 sclk=2885Mhz mclk=1000Mhz fclk=2000Mhz busy=87 power_uw=113017000 temp_mc=54000 load=5.12
1790072063.195214547 sclk=2881Mhz mclk=1000Mhz fclk=2000Mhz busy=92 power_uw=120090000 temp_mc=58000 load=5.12
1790072063.712512776 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=96 power_uw=125045000 temp_mc=65000 load=5.12
1790072064.232411512 sclk=2880Mhz mclk=1000Mhz fclk=2000Mhz busy=97 power_uw=127002000 temp_mc=56000 load=5.12
1790072064.750587730 sclk=2883Mhz mclk=1000Mhz fclk=2000Mhz busy=98 power_uw=128021000 temp_mc=65000 load=5.12
1790072065.268463532 sclk=2878Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=127072000 temp_mc=60000 load=5.12
1790072065.785633565 sclk=2874Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=128092000 temp_mc=65000 load=5.12
1790072066.303707674 sclk=2876Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=129041000 temp_mc=58000 load=5.12
1790072066.821549345 sclk=2875Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131045000 temp_mc=65000 load=5.12
1790072067.338803940 sclk=2876Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130012000 temp_mc=56000 load=5.12
1790072067.856582615 sclk=2879Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131078000 temp_mc=67000 load=4.87
1790072068.374090821 sclk=2880Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131025000 temp_mc=68000 load=4.87
1790072068.892719581 sclk=2881Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=128091000 temp_mc=63000 load=4.87
1790072069.409962560 sclk=2872Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130043000 temp_mc=57000 load=4.87
1790072069.925471948 sclk=2878Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130087000 temp_mc=67000 load=4.87
1790072070.444026853 sclk=2875Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131026000 temp_mc=58000 load=4.87
1790072070.962213454 sclk=2877Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131019000 temp_mc=67000 load=4.87
1790072071.479889664 sclk=2880Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130028000 temp_mc=65000 load=4.87
1790072071.998163001 sclk=2875Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130091000 temp_mc=59000 load=4.87
1790072072.516036655 sclk=2878Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=129087000 temp_mc=59000 load=4.87
1790072073.031944512 sclk=2861Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=133000000 temp_mc=67000 load=4.64
1790072073.551134963 sclk=2865Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131022000 temp_mc=61000 load=4.64
1790072074.070471830 sclk=2871Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=128097000 temp_mc=65000 load=4.64
1790072074.588993141 sclk=2868Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130061000 temp_mc=59000 load=4.64
1790072075.104358961 sclk=2873Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130048000 temp_mc=66000 load=4.64
1790072075.620147489 sclk=2879Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130034000 temp_mc=68000 load=4.64
1790072076.136382800 sclk=2878Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130032000 temp_mc=68000 load=4.64
1790072076.652657928 sclk=2875Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=129017000 temp_mc=58000 load=4.64
1790072077.168454234 sclk=2874Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130075000 temp_mc=63000 load=4.64
1790072077.685072382 sclk=2868Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130059000 temp_mc=64000 load=4.42
1790072078.202097007 sclk=2874Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130031000 temp_mc=69000 load=4.42
1790072078.720452163 sclk=2872Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131019000 temp_mc=59000 load=4.42
1790072079.236889282 sclk=2875Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=129079000 temp_mc=64000 load=4.42
1790072079.755700430 sclk=2874Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=130017000 temp_mc=70000 load=4.42
1790072080.272417790 sclk=2871Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=129059000 temp_mc=60000 load=4.42
1790072080.786766584 sclk=2877Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=131048000 temp_mc=71000 load=4.42
1790072081.305501562 sclk=2874Mhz mclk=1000Mhz fclk=2000Mhz busy=83 power_uw=114007000 temp_mc=46000 load=4.42
1790072081.824636265 sclk=2883Mhz mclk=1000Mhz fclk=2000Mhz busy=70 power_uw=98005000 temp_mc=56000 load=4.42
1790072082.341083791 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=82 power_uw=103035000 temp_mc=65000 load=4.42
1790072082.857785997 sclk=2885Mhz mclk=1000Mhz fclk=2000Mhz busy=89 power_uw=110094000 temp_mc=59000 load=4.15
1790072083.375366833 sclk=2883Mhz mclk=1000Mhz fclk=2000Mhz busy=94 power_uw=114061000 temp_mc=65000 load=4.15
1790072083.892961245 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=96 power_uw=117043000 temp_mc=59000 load=4.15
1790072084.408068216 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=98 power_uw=120064000 temp_mc=62000 load=4.15
1790072084.927456775 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=120015000 temp_mc=60000 load=4.15
1790072085.445324727 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121082000 temp_mc=71000 load=4.15
1790072085.963719172 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121017000 temp_mc=71000 load=4.15
1790072086.479951901 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121063000 temp_mc=67000 load=4.15
1790072086.997723634 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120037000 temp_mc=69000 load=4.15
1790072087.514665133 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120010000 temp_mc=59000 load=4.15
1790072088.032852672 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120067000 temp_mc=65000 load=3.90
1790072088.548704147 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121024000 temp_mc=60000 load=3.90
1790072089.062798928 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=124003000 temp_mc=72000 load=3.90
1790072089.581180147 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120026000 temp_mc=59000 load=3.90
1790072090.097804723 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121054000 temp_mc=71000 load=3.90
1790072090.614735047 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122018000 temp_mc=66000 load=3.90
1790072091.133001272 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121049000 temp_mc=68000 load=3.90
1790072091.648988088 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120098000 temp_mc=67000 load=3.90
1790072092.165908226 sclk=2894Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121093000 temp_mc=68000 load=3.90
1790072092.681882320 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121007000 temp_mc=71000 load=3.67
1790072093.199447156 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122001000 temp_mc=72000 load=3.67
1790072093.715922809 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120097000 temp_mc=66000 load=3.67
1790072094.233360527 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122043000 temp_mc=70000 load=3.67
1790072094.752002328 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119021000 temp_mc=63000 load=3.67
1790072095.267372238 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121034000 temp_mc=71000 load=3.67
1790072095.789360023 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120082000 temp_mc=62000 load=3.67
1790072096.306149213 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=118087000 temp_mc=66000 load=3.67
1790072096.822625713 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119005000 temp_mc=66000 load=3.67
1790072097.337990829 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119036000 temp_mc=69000 load=3.67
1790072097.854307650 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120016000 temp_mc=60000 load=3.45
1790072098.371209937 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=118056000 temp_mc=63000 load=3.45
1790072098.889411076 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119076000 temp_mc=61000 load=3.45
1790072099.405352803 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121015000 temp_mc=70000 load=3.45
1790072099.921433844 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120043000 temp_mc=64000 load=3.45
1790072100.438265352 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119095000 temp_mc=62000 load=3.45
1790072100.955542942 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120099000 temp_mc=70000 load=3.45
1790072101.472561556 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119049000 temp_mc=60000 load=3.45
1790072101.988891420 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=91 power_uw=113064000 temp_mc=50000 load=3.45
1790072102.505364226 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=67 power_uw=92091000 temp_mc=63000 load=3.45
1790072103.025257134 sclk=2895Mhz mclk=1000Mhz fclk=2000Mhz busy=81 power_uw=101094000 temp_mc=59000 load=3.25
1790072103.543138970 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=88 power_uw=110044000 temp_mc=71000 load=3.25
1790072104.062236590 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=93 power_uw=114069000 temp_mc=62000 load=3.25
1790072104.584145875 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=96 power_uw=118045000 temp_mc=71000 load=3.25
1790072105.102237730 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=98 power_uw=119077000 temp_mc=68000 load=3.25
1790072105.621047921 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121044000 temp_mc=72000 load=3.25
1790072106.137242900 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121026000 temp_mc=69000 load=3.25
